Time;Epoch;Train Loss;Val Loss;Accuracy
 ;0;9150.902457457323;5077.610821063702;31.85096153846154
 ;1;3921.727955744817;4922.173959585337;34.73557692307692
 ;2;3061.9018754225513;4374.65132023738;39.18269230769231
 ;3;2237.7629658625674;4287.829758864183;38.34134615384615
 ;4;1929.2528809767502;4708.213106595553;38.22115384615385
 ;5;1583.212843968318;4699.376802884615;37.98076923076923
 ;6;1141.931450036856;4289.956139197717;39.54326923076923
 ;7;1075.9472057635967;4111.205059344952;39.42307692307692
 ;8;910.359973027156;4165.109112079327;42.78846153846154
 ;9;724.5301207028903;4005.027606670673;43.62980769230769
 ;10;648.3757818662203;4314.714895395132;40.86538461538461
 ;11;534.0393352508545;4251.75674203726;42.54807692307692
 ;12;408.0798768263597;4030.1205303485576;44.23076923076923
 ;13;386.5536920107328;4087.3187537560098;42.54807692307692
 ;14;341.4350618949303;4079.4070575420674;45.55288461538461
 ;15;274.5340604048509;4347.83803147536;40.98557692307692
 ;16;215.37457334078275;3958.304208608774;44.23076923076923
 ;17;194.53973249288705;4171.192899263822;44.35096153846154
 ;18;153.44951167903267;4034.2214073768027;46.63461538461539
 ;19;133.64656371336716;4022.2791372445913;44.95192307692308
 ;20;132.94975429314835;3916.25395320012;44.35096153846154
 ;21;108.42580388941298;4033.9194993239184;44.59134615384615
 ;22;103.01058419034459;4053.790029672476;46.03365384615385
 ;23;97.12428712157103;4026.3599900465747;46.15384615384615
 ;24;57.82639842938919;3982.1162954477163;44.35096153846154
 ;25;65.61198696422463;4014.9442420372598;46.51442307692308
 ;26;58.93227476855107;4034.91120323768;46.51442307692308
 ;27;55.20729656478093;3955.4613600510816;45.55288461538461
 ;28;38.23579343586551;4084.013897235577;45.3125
 ;29;44.91266144538979;3868.7850905198316;47.95673076923077
 ;30;27.026625391239158;3857.1214317908652;46.75480769230769
 ;31;16.96458387724124;3966.5672936072715;45.79326923076923
 ;32;27.345897129190305;3842.1238403320312;46.63461538461539
 ;33;13.07043639125417;3890.935335599459;46.875
 ;34;23.953434350673206;3863.9068697415864;47.11538461538461
 ;35;20.914924438183125;4056.110069861779;44.35096153846154
 ;36;16.450489351669184;3928.0547156700723;46.15384615384615
 ;37;18.527721462258622;4018.7125619741587;45.43269230769231
 ;38;10.426909144537953;3891.3370549128604;47.83653846153846
 ;39;14.836729812363973;3972.9222740760215;47.59615384615385
 ;40;17.879300862371576;3913.4532564603364;46.99519230769231
 ;41;6.585103369711935;3971.162616436298;46.15384615384615
 ;42;16.227009740013344;3913.80266394982;46.875
 ;43;9.563703728517357;3868.5040001502402;45.91346153846154
 ;44;11.628197545722987;3929.3556377704326;46.03365384615385
 ;45;12.096230580256535;3863.7669489933896;46.75480769230769
 ;46;7.238752553096185;3929.106435922476;46.27403846153846
 ;47;11.806126978846386;4062.6812556340146;44.35096153846154
 ;48;7.683659645227285;3960.5968956580527;45.43269230769231
 ;49;14.7951748921321;3887.0859375;44.95192307692308
 ;50;4.033239197559082;3906.014385516827;45.43269230769231
 ;51;1.5653638606174634;3940.0118596003604;45.67307692307692
 ;52;2.6223799776859007;3872.2145338792066;46.27403846153846
 ;53;0.19503607615255392;3847.8854698768027;46.03365384615385
 ;54;0.7957504470474445;3855.025381234976;46.51442307692308
 ;55;1.662053724894157;3901.3711688701924;45.91346153846154
 ;56;4.1751010707364635;3910.5091177133413;45.79326923076923
 ;57;2.833696216201553;3868.810584435096;46.51442307692308
 ;58;0.37414856083118;3868.2750619741587;46.63461538461539
 ;59;0.00130934755389507;3868.2750619741587;46.63461538461539
 ;60;0.0013092548514787967;3868.2750619741587;46.63461538461539
 ;61;0.0013091621490625234;3868.2750525841348;46.63461538461539
 ;62;0.0013090694466462503;3868.2750525841348;46.63461538461539
 ;63;0.001308976887510373;3868.2750431941104;46.63461538461539
 ;64;0.0013088841850940997;3868.2750619741587;46.63461538461539
 ;65;0.0013087914826778264;3868.2750619741587;46.63461538461539
 ;66;0.0013086987802615534;3868.2750713641826;46.63461538461539
 ;67;0.00130860607784528;3868.2750619741587;46.63461538461539
 ;68;0.0013085135187094028;3868.2750525841348;46.63461538461539
 ;69;0.0013084208162931295;3868.2750431941104;46.63461538461539
 ;70;0.0013083282571572524;3868.2750338040864;46.63461538461539
 ;71;0.001308235411460583;3868.2750338040864;46.63461538461539
 ;72;0.0013081428523247058;3868.2750338040864;46.63461538461539
 ;73;0.0013080501499084325;3868.2750150240386;46.63461538461539
 ;74;0.0013079575907725554;3868.2750150240386;46.63461538461539
 ;75;0.0013078648883562821;3868.2750150240386;46.63461538461539
 ;76;0.0013077721859400088;3868.2750150240386;46.63461538461539
 ;77;0.0013076796268041318;3868.2750338040864;46.63461538461539
 ;78;0.0013075869243878585;3868.2750338040864;46.63461538461539
 ;79;0.0013074942219715852;3868.2750338040864;46.63461538461539
 ;80;0.0013074016628357081;3868.2750338040864;46.63461538461539
 ;81;0.0013073089604194348;3868.2750338040864;46.63461538461539
 ;82;0.0013072164012835575;3868.2750244140625;46.63461538461539
